"TABLE_NAME","COND"
"AJUSTES_STOCK","CANTIDAD >= 0"
"CAJAS","ESTADO IS NULL OR ESTADO IN ('A','C')"
"COMPROBANTES","ESTADO IN ('A','P','N')"
"CUENTAS_COBRAR","ESTADO IN ('PENDIENTE','PAGADA','ANULADA')"
"CUENTAS_COBRAR_DET","ESTADO IN ('PENDIENTE','PAGADA','VENCIDA','ANULADA')"
"DBTOOLS$MCP_LOG","end_point_type in ('tool', 'prompt', 'resource', 'sample', 'root', 'transport')"
"EMPLEADOS","CONTRASENA_TEMP IN ('S','N')"
"EMPLEADOS","ACTIVO IN ('S','N')"
"INVENTARIO","ESTADO IN ('BORRADOR','ENVIADO','APROBADO','RECHAZADO')"
"MARGEN_CATEGORIA","CATEGORIA_CLIENTE IN ('Mayorista','Minorista')"
"MARGEN_CATEGORIA","ESTADO IN ('ACTIVO','INACTIVO')"
"MARGEN_CATEGORIA","PORCENTAJE >= 0 AND PORCENTAJE <= 9999.99"
"METAS_COBRANZA","MONTO_META > 0"
"METAS_VENTA","MONTO_META > 0"
"MOTIVOS_NOTA_CREDITO","ACTIVO IN ('S','N')"
"MOVIMIENTOS_CAJA","TIPO IN ('INGRESO_VENTA','COBRO_CXC','EGRESO','AJUSTE')"
"MOVIMIENTOS_CAJA","ESTADO IS NULL OR ESTADO IN ('A','C')"
"ORDENES_PAGO","ESTADO IN ('BORRADOR','PAGADA','ANULADA')"
"ORDENES_VENTA","ESTADO IN ('PENDIENTE','APROBADO','FACTURADO','ANULADO','VENCIDO')"
"ORDEN_PAGO_DET","MONTO_APLICADO > 0"
"PARAMETROS","ACTIVO IN ('S','N')"
"PARAMETROS","MES_APLICABLE IS NULL OR MES_APLICABLE IN      ('01','02','03','04','05','06','07','08','09','10','11','12')"
"PRIVILEGIOS","ACTIVO IN ('S','N')"
"PRODUCTO_PROVEEDORES","FECHA_FIN IS NULL OR FECHA_FIN >= FECHA_INICIO"
"PRODUCTO_PROVEEDORES","PRECIO > 0"
"PRODUCTO_PROVEEDORES","ESTADO IN ('ACTIVO', 'INACTIVO', 'SUSPENDIDO')"
"RECURSOS","ACTIVO IN ('S','N')"
"SECTORES","ACTIVO IN ('S','N')"
"SOLICITUDES_NOTA_CREDITO","TIPO_NC IN ('T','P')"
"SOLICITUDES_NOTA_CREDITO","ESTADO IN ('P','A','R')"
"SOLICITUDES_NOTA_CREDITO","DEVUELVE_STOCK IN ('S','N')"
"SOLICITUDES_REVERSO_COBRO","ESTADO IN ('P','A','R')"
"SOLICITUD_NC_DETALLE","CANTIDAD > 0"
"TALONARIOS","ACTIVO IN ('S', 'N')"
"TIPO_IVA","ACTIVO IN ('S','N')"
"TRANSFERENCIAS_STOCK","ID_OFICINA_ORIGEN <> ID_OFICINA_DESTINO"
"TRANSFERENCIAS_STOCK","CANTIDAD > 0"
"UBICACIONES","ACTIVO IN ('S','N')"
